"csd_ref","name","asa_grav [m²/g]","asa_vol [m²/cm³]","av_vf","pore_volume [cm³/g]","density [g/cm³]","nexc [wt. %]","uptake_grav [wt. %]","uptake_vol [g H2/L]","metal1","metal2","metal3","oms","lcd [Å]","pld [Å]","LFPD [Å]","symmetry_space_group","cell_length_a","cell_length_b","cell_length_c","cell_angle_alpha","cell_angle_beta","cell_angle_gamma","cell_volume [Å³]","cas1","norm_name1","name1","mol_mass1 [g/mol]","smile_cam1","smile_can1","linker1","vendor_name1","max_amount1 [g]","rel_price1 [€/g]","min_purity1","cas2","norm_name2","name2","mol_mass2 [g/mol]","smile_cam2","smile_can2","linker2","vendor_name2","max_amount2 [g]","rel_price2 [g/€]","min_purity2","cas3","norm_name3","name3","mol_mass3 [g/mol]","smile_cam3","smile_can3","linker3","vendor_name3","max_amount3 [g]","rel_price3 [€/g]","min_purity3"
"XAKZUF","",1748.28,1547.82,0.62,0.7,0.89,3.52,4.63,42.99,"Mn","","","Yes",12.15,7.74,12.15,"I41/a",40.71,40.71,17.47,90.0,90.0,90.0,28948.37,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"XALBAO","",1807.0,1591.93,0.63,0.72,0.88,3.59,4.74,43.86,"Mn","","","Yes",12.09,7.27,11.79,"I41/a",40.38,40.38,17.57,90.0,90.0,90.0,28638.1,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"XALBES","",1781.87,1572.28,0.62,0.7,0.88,3.56,4.66,43.15,"Mn","","","Yes",12.1,7.47,12.1,"I41/a",40.32,40.32,17.59,90.0,90.0,90.0,28592.85,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"XALBIW","",1827.7,1588.95,0.62,0.72,0.87,3.62,4.76,43.46,"Mn","","","Yes",12.14,7.81,11.99,"I41/a",40.65,40.65,17.56,90.0,90.0,90.0,29020.48,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"XALBOC","",1807.78,1576.24,0.62,0.71,0.87,3.59,4.71,43.14,"Mn","","","Yes",12.16,7.75,11.88,"I41/a",40.54,40.54,17.61,90.0,90.0,90.0,28935.63,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"XALBUI","",1771.12,1559.27,0.61,0.69,0.88,3.55,4.62,42.68,"Mn","","","Yes",12.39,7.83,12.26,"I41/a",40.42,40.42,17.81,90.0,90.0,90.0,29111.06,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"XALCAP","",1715.83,1531.39,0.63,0.71,0.89,3.47,4.63,43.33,"Mn","","","Yes",12.14,7.51,12.14,"I41/a",40.61,40.61,17.41,90.0,90.0,90.0,28715.95,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"XALCET","",1724.05,1530.66,0.61,0.69,0.89,3.48,4.58,42.62,"Mn","","","Yes",12.1,7.68,12.1,"I41/a",40.95,40.95,17.22,90.0,90.0,90.0,28867.06,"4916-57-8","1,2-bis(4-pyridyl)ethane","[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]",184.24,"C(CC1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)CCc1ccncc1","Yes","Chemenu",100.0,6.1662,0.97,"20349-50-2","N'-acetyl-2-hydroxybenzohydrazide","[""N-Acetylsalicylhydrazide"", ""N-Propionylsalicylhydrazide""]",194.19,"C(C)(=O)NNC(C1=C(C=CC=C1)O)=O","CC(=O)NNC(=O)c1ccccc1O","Yes","Aronis",5.0,143.276,"","","","","","","","","","","",""
"KUGZIW","",1464.37,1397.44,0.62,0.65,0.95,3.15,4.23,42.1,"Ni","","","Yes",10.78,9.76,10.78,"P-31c",15.55,15.55,16.36,90.0,90.0,120.0,3427.18,"73016-08-7","anthracene-9,10-dicarboxylate","[""9,10-Anthracenedicarboxylate"", ""anthracene-9,10-dicarboxylate""]",266.25,"C1=CC=CC2=C(C3=CC=CC=C3C(=C12)C(=O)O)C(=O)O","OC(=O)c1c2ccccc2c(c2c1cccc2)C(=O)O","Yes","AmBeed",1.0,141.9,0.98,"563-83-7","2-Methylpropanamide","[""Dimethylacetamidium""]",87.12,"CC(C(=O)N)C","CC(C(=O)N)C","No","","","","","","","","","","","","","","",""
"HUYKER","",1727.54,1422.11,0.63,0.76,0.82,3.49,4.78,41.35,"Ni","","","No",10.78,7.94,10.78,"I4132",28.4,28.4,28.4,90.0,90.0,90.0,22906.3,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"513-85-9","Butane-2,3-diol","[""butane-2,3-diol""]",90.12,"CC(C(C)O)O","CC(C(O)C)O","No","","","","","","","","","","","","","","",""
"IPICOA","",943.15,1489.86,0.62,0.4,1.58,2.47,3.01,48.98,"Zn","","","No",5.44,4.82,5.37,"Pbcn",9.61,16.04,14.08,90.0,90.0,90.0,2170.04,"7664-38-2","phosphate","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]",98.0,"P(=O)(O)(O)O","OP(=O)(O)O","Yes","ABCR",17000.0,0.01474706,0.85,"78-96-6","1-aminopropan-2-ol","[""2-hydroxypropan-1-aminium""]",75.11,"OC(C[NH3+])C","CC(C[NH3+])O","No","","","","","","","","","","","","","","",""
"IYOCUW","",1497.81,1758.62,0.65,0.55,1.17,3.19,3.97,48.52,"Zn","","","No",8.91,6.18,8.89,"P21/c",34.72,14.71,31.41,90.0,103.29,90.0,15615.58,"42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"499-75-2","5-isopropyl-2-methylphenol","[""5-isopropyl-2-methylphenol""]",150.22,"C(C)(C)C=1C=CC(=C(C1)O)C","CC(c1ccc(c(c1)O)C)C","No","","","","","","","","","","","","","","",""
"REXFIL","",1265.56,1719.23,0.64,0.47,1.36,2.89,3.52,49.54,"Zn","","","Yes",8.77,5.78,8.77,"Cc",34.58,14.88,30.65,90.0,101.17,90.0,15472.57,"42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"489-84-9","7-isopropyl-1,4-dimethylazulene","[""7-isopropyl-1,4-dimethylazulene""]",198.33,"C(C)(C)C1=CC=C(C2=CC=C(C2=C1)C)C","CC(c1ccc(c2-c(c1)c(C)cc2)C)C","No","","","","","","","","","","","","","","",""
"REXFOR","",1266.85,1711.36,0.64,0.47,1.35,2.89,3.52,49.28,"Zn","","","No",8.56,6.22,8.56,"C2/c",34.64,14.88,30.84,90.0,101.79,90.0,15559.81,"42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"489-84-9","7-isopropyl-1,4-dimethylazulene","[""7-isopropyl-1,4-dimethylazulene""]",198.33,"C(C)(C)C1=CC=C(C2=CC=C(C2=C1)C)C","CC(c1ccc(c2-c(c1)c(C)cc2)C)C","No","","","","","","","","","","","","","","",""
"SACDUX","",1665.13,2043.72,0.66,0.54,1.23,3.41,4.1,52.42,"Zn","","","Yes",8.21,7.59,8.16,"Pbca",27.54,13.81,45.02,90.0,90.0,90.0,17125.58,"42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"","","1-(triphenylene-2-yl)ethanol","","C1=C(C=CC=2C3=CC=CC=C3C3=CC=CC=C3C12)C(C)O","CC(c1ccc2c(c1)c1ccccc1c1c2cccc1)O","No","","","","","","","","","","","","","","",""
"REXFAD","",1310.04,1739.82,0.64,0.48,1.33,2.95,3.59,49.44,"Zn","","","Yes",8.38,6.69,8.38,"C2/c",35.75,14.77,30.59,90.0,101.65,90.0,15827.02,"42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"24544-04-5","2,6-di-isopropylaniline","[""2,6-di-isopropylaniline""]",177.32,"C(C)(C)C1=C(N)C(=CC=C1)C(C)C","CC(c1cccc(c1N)C(C)C)C","No","","","","","","","","","","","","","","",""
"EFEGOM","",1351.17,1513.16,0.59,0.52,1.12,3.0,3.74,43.56,"Fe","","","No",6.14,5.64,6.14,"P1",19.22,11.34,13.8,90.0,110.82,90.0,2810.97,"100-21-0","1,4-Benzenedicarboxylate","[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",166.13,"C1(=CC=C(C=C1)C(=O)O)C(=O)O","OC(=O)c1ccc(cc1)C(=O)O","Yes","AmBeed",1000.0,0.0215,0.95,"15687-27-1","2-[4-(2-methylpropyl)phenyl]propanoate","[""alpha-p-isobutylphenylpropionate""]",206.28,"C(C(C)C)C1=CC=C(C=C1)C(C(=O)O)C","CC(Cc1ccc(cc1)C(C(=O)O)C)C","No","","","","","","","","","","","","","","",""
"WECBEN","",3143.89,3119.1,0.7,0.71,0.99,5.29,6.12,64.66,"Zn","","","No",6.5,4.34,6.44,"P-1",9.42,15.46,18.25,95.4,91.35,90.31,2643.39,"144-62-7","Oxalate","[""Oxalate""]",90.03,"C(C(=O)O)(=O)O","C(C(=O)O)(=O)O","Yes","SigmaAldrich",250.0,0.1848,"","108-18-9","di(propan-2-yl)ammonium","[""Di-isopropylamine""]",101.22,"C(C)(C)NC(C)C","CC(NC(C)C)C","No","","","","","","","","","","","","","","",""
"FUBDEM","",1735.7,2067.73,0.68,0.57,1.19,3.5,4.25,52.85,"Zn","","","No",8.59,7.9,8.58,"Pbca",28.36,13.88,44.81,90.0,90.0,90.0,17644.13,"42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"","","1-(1-hydroxyethyl)aminetriphenylene","","OC(C)NC1=CC=CC=2C3=CC=CC=C3C3=CC=CC=C3C12","CC(Nc1cccc2c1c1ccccc1c1c2cccc1)O","No","","","","","","","","","","","","","","",""
"OTOLIU","MIL-167",4761.4,3565.69,0.74,0.98,0.75,7.26,8.36,68.28,"Ti","","","No",6.25,4.57,6.25,"I-43d",22.91,22.91,22.91,90.0,90.0,90.0,12027.56,"610-92-4","2,5-Dihydroxybenzene-1,4-dicarboxylate","[""2,5-dioxyterephthalate"", ""2,5-dioxybenzene-1,4-dicarboxylate"", ""2,5-Dioxidoterephthalate"", ""2,5-dihydroxybenzene-1,4-dicarboxylate"", ""2,5-dioxido-1,4-benzenedicarboxylate"", ""2,5-Dioxidobenzene-1,4-dicarboxylate"", ""2,5-Dicarboxylatebenzene-1,4-diolate"", ""2,5-Dihydroxyterephthalate""]",194.1,"OC1=C(C=C(C(=C1)C(=O)O)O)C(=O)O","OC(=O)c1cc(O)c(cc1O)C(=O)O","Yes","Chemescene",500.0,1.05092,"","616-39-7","N,N-diethyl-N-methylammonium","[""N,N-diethyl-N-methylammonium""]",88.17,"C(C)[NH+](C)CC","CC[NH+](CC)C","No","","","","","","","","","","","","","","",""
"PEFJUF","JDF-20",1734.53,2068.35,0.62,0.52,1.19,3.5,4.13,51.42,"Al","","","No",6.62,6.06,6.62,"C2/c",32.04,14.31,8.85,90.0,104.65,90.0,3925.46,"7664-38-2","phosphate","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]",98.0,"P(=O)(O)(O)O","OP(=O)(O)O","Yes","ABCR",17000.0,0.01474706,0.85,"121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"WIMWIA","",1223.98,1454.84,0.56,0.47,1.19,2.83,3.48,42.84,"Zn","","","No",4.82,3.74,4.8,"Pbca",14.09,14.02,24.13,90.0,90.0,90.0,4764.65,"121-91-5","benzene-1,3-dicarboxylate","[""Isophthalate"", ""1,3-Benzenedicarboxylate"", ""benzene-1,3-dicarboxylate"", ""3-carboxybenzoate""]",166.14,"C1(=CC(=CC=C1)C(=O)O)C(=O)O","OC(=O)c1cccc(c1)C(=O)O","Yes","AlfaAesar",5000.0,0.01804,0.99,"121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"VIYTAA","",984.28,1290.46,0.54,0.41,1.31,2.52,3.08,41.61,"Zn","","","Yes",5.13,3.87,5.1,"Pbcn",20.58,12.01,17.06,90.0,90.0,90.0,4217.72,"","","4'-phosphonatebiphenyl-3,5-dicarboxylate",322.21,"P(=O)(O)(O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)c1ccc(cc1)P(=O)(O)O)C(=O)O","No","","","","","121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"AVUCEA","",2552.15,2280.68,0.68,0.76,0.89,4.54,5.53,52.36,"Co","","","Yes",10.64,4.52,5.23,"R-3",32.82,32.82,19.08,90.0,90.0,120.0,17797.42,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"FUTYEA","",2016.34,2090.75,0.63,0.61,1.04,3.86,4.62,50.25,"Zn","","","Yes",5.61,4.52,5.59,"P21/n",9.46,15.98,11.57,90.0,93.89,90.0,1745.62,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"MITSIS","",1711.79,1820.47,0.64,0.6,1.06,3.47,4.31,47.92,"Cd","","","Yes",7.97,6.52,7.97,"P21/c",10.24,36.49,17.97,90.0,99.75,90.0,6618.98,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"PUWDIU","",1880.23,2055.27,0.64,0.58,1.09,3.69,4.41,50.44,"Zn","","","Yes",8.23,6.96,8.23,"I4cm",20.66,20.66,17.84,90.0,90.0,90.0,7612.61,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"KEDJAG","",2815.34,3013.15,0.69,0.64,1.07,4.87,5.63,63.89,"Cu","","","No",5.59,4.38,5.56,"P21/c",8.7,34.14,8.61,90.0,107.58,90.0,2437.07,"144-62-7","Oxalate","[""Oxalate""]",90.03,"C(C(=O)O)(=O)O","C(C(=O)O)(=O)O","Yes","SigmaAldrich",250.0,0.1848,"","121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
"PUWDEQ","",1688.75,1620.28,0.56,0.58,0.96,3.44,4.23,42.41,"Zn","","","Yes",5.82,4.49,5.82,"P-1",9.95,11.58,15.56,72.38,83.17,84.33,1692.13,"1141-38-4","2,6-Naphtalenedicarboxylate","[""Naphthalene-2,6-dicarboxylate"", ""2,6-Naphtalenedicarboxylate"", ""2,6-Naphthalenedicarboxylate""]",216.19,"C1=C(C=CC2=CC(=CC=C12)C(=O)O)C(=O)O","OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O","Yes","AmBeed",500.0,1.03544,0.95,"121-44-8","triethylammonium","[""triethylammonium""]","","C(C)[NH+](CC)CC","CC[NH+](CC)CC","No","","","","","","","","","","","","","","",""
